8.7	406394
8.6	81413
9.3	864423
8.8	139697
8.7	285910
8.5	136344
8.9	448339
8.6	217104
8.5	56204
8.6	132317
8.5	66749
8.4	70321
8.9	213856
8.4	42793
8.5	294139
8.9	663666
9	848068
8.5	58918
8.5	28644
8.6	50863
8.6	112078
8.3	20314
8.4	49480
8.2	40635
8.4	58892
8.8	664764
8.7	633559
8.6	462803
8.6	192948
8.2	44631
8	14738
8.8	486572
8.3	45706
8.8	382833
8.2	36773
8.5	188639
6.1	10661
8.4	227423
8.8	433159
8.3	47905
5.2	46154
6.7	44198
8.5	463556
8.7	424039
8.3	29634
8.1	175999
8.4	29412
8.4	46747
8.1	17708
8	28802
8	13980
8.3	70622
8.6	63653
8	30337
8.2	53418
8.4	47472
8.6	400841
8.2	67218
8.1	13721
8.1	7565
9	673844
8.2	38338
8.5	75667
8.9	614372
8.5	111762
7.8	8425
8	36203
8.5	136628
8.1	39577
8.2	10121
8.3	278686
7.7	3269
8.3	23695
8	9889
8	15961
8.8	638390
8.2	17462
8.7	121612
7.9	4133
8.2	24081
8	35555
7.7	17312
8.1	47123
7.9	21316
8.1	7814
8.2	242945
8.5	100837
8.1	19368
8.4	363305
9	265435
8.1	14484
7.6	5381
8.3	51540
8.1	12241
8.3	62256
8.5	265826
8.7	550652
8.2	5628
8.1	14077
8.6	260691
8.1	41789
8.5	442047
7.8	5648
7.6	1058
7.6	6608
8.3	34628
8	47584
null	null
8.3	34292
8.1	37719
8.1	23512
8	11671
8.4	60609
8.2	13631
8.2	29511
8.1	51796
8.4	175024
8	7956
8.3	21155
8.2	11775
7.6	1012
8.4	110522
8.4	136055
8.1	12768
8.4	340105
8	31034
8.2	12038
8.4	249048
8.3	11408
8	31701
8.2	18615
7.6	17024
7.2	1553
7.8	4593
7.9	29503
8.2	37903
8.3	5650
8.6	21602
8.6	448173
8.2	394699
8.2	105547
8	36455
8.1	30943
8.4	152663
8.1	6625
7.9	15741
8.5	63215
7.9	27911
8.1	95111
8.1	43226
8.1	16610
8.1	10997
7.6	5910
8.4	101768
8.2	218333
8.2	12008
8	16570
8.4	398435
8.2	21546
7.8	7714
8.5	237668
8	9780
8.1	26254
7.8	9247
8	17968
8.5	15939
8.2	150611
8.2	17537
8.3	259357
8.4	83660
8.2	17657
7.9	19171
7.5	4859
8.1	31716
7.7	8626
8.5	347163
